Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Guild Bard Coat/Scholar's Mini : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 4 鮮やかな体液
Guild Bard Gaiters/Scholar's Sandals : 2 飛竜のコイン, 3 海竜のコイン, 4 牙獣のコイン, 2 氷牙竜の棘
Lagiacrus Helm : 2 海竜の角, 3 海流の皮, 3 海竜の鱗, 2 アイシスメタル
Lagiacrus Mail : 3 海竜の皮, 1 海竜の背電殻, 4 海竜の鱗, 6 ライトクリスタル
Lagiacrus Vambraces : 2 海竜の爪, 2 海竜の皮, 4 海竜の鱗, 2 アイシスメタル
Lagiacrus Faulds : 1 海竜の角, 2 海流の背電殻, 4 海流の鱗, 1 アイシスメタル
Lagiacrus Greaves : 2 海竜の鱗, 1 海竜の皮, 1 海竜の逆鱗, 1 ライトクリスタル
Lagiacrus Cap : 2 海竜の角, 3 海流の皮, 3 海竜の鱗, 2 アイシスメタル
Lagiacrus Vest : 3 海竜の皮, 1 海竜の背電殻, 4 海竜の鱗, 6 ライトクリスタル
Lagiacrus Guards : 2 海竜の爪, 2 海竜の皮, 4 海竜の鱗, 2 アイシスメタル
Lagiacrus Coat : 1 海竜の角, 2 海流の背電殻, 4 海流の鱗, 1 アイシスメタル
Lagiacrus Leggings : 2 海竜の鱗, 1 海竜の皮, 1 海竜の逆鱗, 1 ライトクリスタル
Rathalos Helm : 3 火竜の鱗, 3 火竜の甲殻, 1 火竜の翼爪, 3 ドラグライト鉱石
Rathalos Mail : 2 火竜の甲殻, 4 火竜の鱗, 3 火竜の翼膜, 3 ドラグライト鉱石
Rathalos Vambraces : 1 火竜の尻尾, 1 火竜の翼爪, 2 火竜の骨髄, 3 ドラグライト鉱石
Rathalos Faulds : 3 火竜の翼膜, 1 火竜の逆鱗, 3 上竜骨, 1 紅蓮石
Rathalos Greaves : 3 火竜の甲殻, 4 火竜の鱗, 2 火炎袋, 3 ドラグライト鉱石
Rathalos Cap : 3 火竜の鱗, 3 火竜の甲殻, 1 火竜の翼爪, 3 ドラグライト鉱石
Rathalos Vest : 2 火竜の甲殻, 4 火竜の鱗, 3 火竜の翼膜, 3 ドラグライト鉱石
Rathalos Guards : 1 火竜の尻尾, 1 火竜の翼爪, 2 火竜の骨髄, 3 ドラグライト鉱石
Rathalos Coat : 3 火竜の翼膜, 1 火竜の逆鱗, 3 上竜骨, 1 紅蓮石
Rathalos Leggings : 3 火竜の甲殻, 4 火竜の鱗, 2 火炎袋, 3 ドラグライト鉱石
Dobol Helm : 2 尾槌竜の角, 4 尾槌竜の甲殻, 3 上竜骨, 3 草食竜の甲殻
Dobol Mail : 3 尾槌竜のコブ, 2 尾槌竜の角, 4 尾槌竜の甲殻, 4 ファンゴの毛皮
Dobol Vambraces : 4 尾槌竜の甲殻, 2 尾槌竜の尾甲, 4 尾槌竜の苔甲, 3 草食竜の甲殻
Dobol Faulds : 4 尾槌竜の苔甲, 4 尾槌竜の甲殻, 1 尾槌竜の尾骨, 4 フロギィの皮
Dobol Greaves : 2 尾槌竜の尾甲, 4 尾槌竜の苔甲, 2 尾槌竜のコブ, 4 ファンゴの毛皮
Dobol Cap : 2 尾槌竜の角, 4 尾槌竜の甲殻, 3 上竜骨, 3 草食竜の甲殻
Dobol Vest : 3 尾槌竜のコブ, 2 尾槌竜の角, 4 尾槌竜の甲殻, 4 ファンゴの毛皮
Dobol Guards : 4 尾槌竜の甲殻, 2 尾槌竜の尾甲, 4 尾槌竜の苔甲, 3 草食竜の甲殻
Dobol Coat : 4 尾槌竜の苔甲, 4 尾槌竜の甲殻, 1 尾槌竜の尾骨, 4 フロギィの皮
Dobol Leggings : 2 尾槌竜の尾甲, 4 尾槌竜の苔甲, 2 尾槌竜のコブ, 4 ファンゴの毛皮
Diablos Helm : 2 角竜の尾甲, 4 角竜の甲殻, 2 角竜の背甲, 5 毒狗竜の皮
Diablos Mail : 2 ねじれた角, 3 角竜の背甲, 2 角竜の甲殻, 3 毒狗竜の腕甲
Diablos Vambraces : 3 角竜の牙, 1 角竜の骨髄, 2 ねじれた角, 3 草食竜の甲殻
Diablos Faulds : 4 角竜の甲殻, 4 角竜の牙, 1 上質なねじれた角, 4 草食竜の頭殻
Diablos Greaves : 3 角竜の背甲, 3 角竜の甲殻, 3 角竜の牙, 3 草食竜の甲殻
Diablos Cap : 2 角竜の尾甲, 4 角竜の甲殻, 2 角竜の背甲, 5 毒狗竜の皮
Diablos Vest : 2 ねじれた角, 3 角竜の背甲, 2 角竜の甲殻, 3 毒狗竜の腕甲
Diablos Guards : 3 角竜の牙, 1 角竜の骨髄, 2 ねじれた角, 3 草食竜の甲殻
Diablos Coat : 4 角竜の甲殻, 4 角竜の牙, 1 上質なねじれた角, 4 草食竜の頭殻
Diablos Leggings : 3 角竜の背甲, 3 角竜の甲殻, 3 角竜の牙, 3 草食竜の甲殻
Uragaan Helm : 3 爆鎚竜の甲殻, 1 爆鎚竜の骨髄, 4 爆鎚竜の鱗, 3 ドラグライト鉱石
Uragaan Mail : 1 爆鎚竜の顎, 1 爆鎚竜の耐熱殻, 3 爆鎚竜の甲殻, 2 赤甲獣の甲殻
Uragaan Vambraces : 3 爆鎚竜の鱗, 1 爆鎚竜の顎, 3 溶岩塊, 1 紅蓮石
Uragaan Faulds : 2 爆鎚竜の耐熱殻, 3 爆鎚竜の鱗, 2 上竜骨, 3 赤甲獣の甲殻
Uragaan Greaves : 4 爆鎚竜の甲殻, 4 爆鎚竜の鱗, 3 溶岩塊, 3 赤甲獣の蛇腹甲
Uragaan Cap : 3 爆鎚竜の甲殻, 1 爆鎚竜の骨髄, 4 爆鎚竜の鱗, 3 ドラグライト鉱石
Uragaan Vest : 1 爆鎚竜の顎, 1 爆鎚竜の耐熱殻, 3 爆鎚竜の甲殻, 2 赤甲獣の甲殻
Uragaan Guards : 3 爆鎚竜の鱗, 1 爆鎚竜の顎, 3 溶岩塊, 1 紅蓮石
Uragaan Coat : 2 爆鎚竜の耐熱殻, 3 爆鎚竜の鱗, 2 上竜骨, 3 赤甲獣の甲殻
Uragaan Leggings : 4 爆鎚竜の甲殻, 4 爆鎚竜の鱗, 3 溶岩塊, 3 赤甲獣の蛇腹甲
Agnaktor Helm : 5 炎戈竜の甲殻, 1 炎戈竜の碇口, 3 炎戈竜の皮, 5 ドラグライト鉱石
Agnaktor Mail : 4 炎戈竜の皮, 2 炎戈竜のヒレ, 5 炎戈竜の甲殻, 5 毒狗竜の皮
Agnaktor Vambraces : 8 溶岩獣の鱗, 4 竜骨【中】, 8 溶岩塊, 1 紅蓮石
Agnaktor Faulds : 6 炎戈竜の燃鱗, 2 炎戈竜のヒレ, 1 炎戈竜の爪, 1 炎戈竜の尻尾
Agnaktor Greaves : 1 炎戈竜の爪, 4 赤熱した胸殻, 3 炎戈竜の皮, 3 毒狗竜の腕甲
Agnaktor Cap : 5 炎戈竜の甲殻, 1 炎戈竜の碇口, 3 炎戈竜の皮, 5 ドラグライト鉱石
Agnaktor Vest : 4 炎戈竜の皮, 2 炎戈竜のヒレ, 5 炎戈竜の甲殻, 5 毒狗竜の皮
Agnaktor Guards : 8 溶岩獣の鱗, 4 竜骨【中】, 8 溶岩塊, 1 紅蓮石
Agnaktor Coat : 6 炎戈竜の燃鱗, 2 炎戈竜のヒレ, 1 炎戈竜の爪, 1 炎戈竜の尻尾
Agnaktor Leggings : 1 炎戈竜の爪, 4 赤熱した胸殻, 3 炎戈竜の皮, 3 毒狗竜の腕甲
Helios Helm/Selene Helm : 2 大海龍の甲皮, 2 湾曲した龍角, 2 神秘の発光体
Helios Mail/Selene Mail : 2 大海龍の鱗, 2 大海龍の鎧毛, 1 深淵の龍玉
Helios Vambraces/Selene Vambraces : 2 大海龍の甲皮, 2 大海龍の鱗, 1 神秘の発光体
Helios Coil/Selene Coil : 2 大海龍の鱗, 2 大海龍の鎧毛, 1 神秘の発光体
Helios Greaves/Selene Greaves : 2 大海龍の甲皮, 2 大海龍の鱗, 1 海竜の逆鱗
Helios Cap/Selene Cap : 2 大海龍の甲皮, 2 湾曲した龍角, 2 神秘の発光体
Helios Vest/Selene Vest : 2 大海龍の鱗, 2 大海龍の鎧毛, 1 深淵の龍玉
Helios Guards/Selene Guards : 2 大海龍の甲皮, 2 大海龍の鱗, 1 神秘の発光体
Helios Coat/Selene Coat : 2 大海龍の鱗, 2 大海龍の鎧毛, 1 神秘の発光体
Helios Leggings/Selene Leggings : 2 大海龍の甲皮, 2 大海龍の鱗, 1 海竜の逆鱗
Leather S Helm : 1 カブレライト鉱石, 2 暖かい毛皮, 3 ファンゴの毛皮
Leather S Mail : 1 上質な毛皮, 1 カブレライト鉱石, 3 ファンゴの毛皮
Leather S Vambraces : 2 上質な毛皮, 2 暖かい毛皮, 4 なめらかな皮
Leather S Faulds : 1 カブレライト鉱石, 2 ファンゴの頭, 3 ファンゴの毛皮
Leather S Greaves : 2 上質な毛皮, 2 暖かい毛皮, 4 なめらかな皮
Leather S Cap : 1 カブレライト鉱石, 2 暖かい毛皮, 3 ファンゴの毛皮
Leather S Vest : 1 上質な毛皮, 1 カブレライト鉱石, 3 ファンゴの毛皮
Leather S Guards : 2 上質な毛皮, 2 暖かい毛皮, 4 なめらかな皮
Leather S Coat : 1 カブレライト鉱石, 2 ファンゴの頭, 3 ファンゴの毛皮
Leather S Legging : 2 上質な毛皮, 2 暖かい毛皮, 4 なめらかな皮
Yukumo - Sky Kasa : 1 王族カナブン, 5 暖かい毛皮, 5 丸鳥の羽
Yukumo - Sky Dogi : 2 王族カナブン, 3 暖かい毛皮, 3 丸鳥の羽
Yukumo - Sky Kote : 2 王族カナブン, 3 暖かい毛皮, 3 丸鳥の羽
Yukumo - Sky Obi : 1 王族カナブン, 5 暖かい毛皮, 2 カブレライト鉱石
Yukumo - Sky Hakama : 2 王族カナブン, 3 ファンゴの毛皮, 2 暖かい毛皮
Yukumo - Earth Kasa : 1 王族カナブン, 5 暖かい毛皮, 5 丸鳥の羽
Yukumo - Earth Dogi : 2 王族カナブン, 3 暖かい毛皮, 3 丸鳥の羽
Yukumo - Earth Kote : 2 王族カナブン, 3 暖かい毛皮, 3 丸鳥の羽
Yukumo - Earth Obi : 1 王族カナブン, 5 暖かい毛皮, 2 カブレライト鉱石
Yukumo - Earth Hakama : 2 王族カナブン, 3 ファンゴの毛皮, 2 暖かい毛皮
Chainmail S Helm : 1 カブレライト鉱石, 2 マカライト鉱石, 5 鉄鉱石
Chainmail S Armor : 2 カブレライト鉱石, 1 シーブライト鉱石, 2 大地の結晶, 2 王族カナブン
Chainmail S Vambraces : 2 カブレライト鉱石, 2 アイシスメタル, 2 大地の結晶
Chainmail S Faulds : 1 カブレライト鉱石, 1 シーブライト鉱石, 2 大地の結晶, 2 王族カナブン
Chainmail S Greaves : 2 カブレライト鉱石, 2 マカライト鉱石, 5 鉄鉱石
Chainmail S Cap : 1 カブレライト鉱石, 2 マカライト鉱石, 5 鉄鉱石
Chainmail S Vest : 2 カブレライト鉱石, 1 シーブライト鉱石, 2 大地の結晶, 2 王族カナブン
Chainmail S Guards : 2 カブレライト鉱石, 2 アイシスメタル, 2 大地の結晶
Chainmail S Coat : 1 カブレライト鉱石, 1 シーブライト鉱石, 2 大地の結晶, 2 王族カナブン
Chainmail S Leggings : 2 カブレライト鉱石, 2 マカライト鉱石, 5 鉄鉱石
Loc Lac S Shawl : 1 上質な腹袋, 2 モンスターの濃汁, 5 氷結晶
Loc Lac S Kilt : 2 上質な腹袋, 3 甲虫の大顎, 4 モンスターの体液
Loc Lac S Boots : 3 上質な腹袋, 3 甲虫の大顎, 3 アイシスメタル
Loc Lac S Vest : 1 上質な腹袋, 2 モンスターの濃汁, 5 氷結晶
Loc Lac S Coat : 2 上質な腹袋, 3 甲虫の大顎, 4 モンスターの体液
Loc Lac S Gaiters : 3 上質な腹袋, 3 甲虫の大顎, 3 アイシスメタル
Hunter's S Helm : 2 デプスライト鉱石, 2 王族カナブン, 5 マカライト鉱石, 5 鉄鉱石
Hunter's S Mail : 1 カブレライト鉱石, 3 ジャギィの上鱗, 3 アイシスメタル, 5 鉄鉱石
Hunter's S Vambraces : 2 デプスライト鉱石, 2 ジャギィの上鱗, 2 大地の結晶, 2 竜骨【大】
Hunter's S Faulds : 3 上質な毛皮, 1 ファンゴの頭, 5 ファンゴの毛皮, 5 ドラグライト鉱石
Hunter's S Greaves : 1 カブレライト鉱石, 2 ファンゴの毛皮, 3 アイシスメタル, 2 大地の結晶
Hunter's S Cap : 2 デプスライト鉱石, 2 王族カナブン, 5 マカライト鉱石, 5 鉄鉱石
Hunter's S Vest : 1 カブレライト鉱石, 3 ジャギィの上鱗, 3 アイシスメタル, 5 鉄鉱石
Hunter's S Guards : 2 デプスライト鉱石, 2 ジャギィの上鱗, 2 大地の結晶, 2 竜骨【大】
Hunter's S Coat : 3 上質な毛皮, 1 ファンゴの頭, 5 ファンゴの毛皮, 5 ドラグライト鉱石
Hunter's S Leggings : 1 カブレライト鉱石, 2 ファンゴの毛皮, 3 アイシスメタル, 2 大地の結晶
Piscine S Mask : 5 上質な鳥竜骨, 3 ケルビの蒼角, 10 イキツギ藻
Piscine S Blet : 2 上質なヒレ, 3 未熟な海綿質, 2 シーブライト鉱石
Piscine S Leggings : 4 上質なヒレ, 5 水生獣の皮, 5 カブレライト鉱石
Piscine S Snorkel : 5 上質な鳥竜骨, 3 ケルビの蒼角, 10 イキツギ藻
Piscine S Tank : 2 上質なヒレ, 3 未熟な海綿質, 2 シーブライト鉱石
Piscine S Pants : 4 上質なヒレ, 5 水生獣の皮, 5 カブレライト鉱石
Bone S Helm : 2 上質な鳥竜骨, 3 上質なヒレ, 3 なぞの頭骨
Bone S Mail : 1 堅牢な骨, 5 竜骨【小】, 5 とがった牙
Bone S Vambraces : 2 上質な鳥竜骨, 1 竜骨【大】, 5 とがった牙
Bone S Faulds : 1 堅牢な骨, 2 竜骨【中】, 10 なぞの骨
Bone S Greaves : 2 上質な鳥竜骨, 3 上質なヒレ, 2 上竜骨
Bone S Cap : 2 上質な鳥竜骨, 3 上質なヒレ, 3 なぞの頭骨
Bone S Vest : 1 堅牢な骨, 5 竜骨【小】, 5 とがった牙
Bone S Guards : 2 上質な鳥竜骨, 1 竜骨【大】, 5 とがった牙
Bone S Coat : 1 堅牢な骨, 2 竜骨【中】, 10 なぞの骨
Bone S Leggings : 2 上質な鳥竜骨, 3 上質なヒレ, 2 上竜骨
Alloy S Helm : 1 デプスライト鉱石, 1 カブレライト鉱石, 5 ドラグライト鉱石, 3 シーブライト鉱石
Alloy S Mail : 2 デプスライト鉱石, 2 カブレライト鉱石, 7 マカライト鉱石, 10 鉄鉱石
Alloy S Vambraces : 2 デプスライト鉱石, 3 カブレライト鉱石, 7 マカライト鉱石, 7 大地の結晶
Alloy S Coil : 1 デプスライト鉱石, 2 カブレライト鉱石, 5 ドラグライト鉱石, 5 シーブライト鉱石
Alloy S Greaves : 3 デプスライト鉱石, 3 カブレライト鉱石, 3 紅蓮石, 5 アイシスメタル
Alloy S Cap : 1 デプスライト鉱石, 1 カブレライト鉱石, 5 ドラグライト鉱石, 3 シーブライト鉱石
Alloy S Vest : 2 デプスライト鉱石, 2 カブレライト鉱石, 7 マカライト鉱石, 10 鉄鉱石
Alloy S Guards : 2 デプスライト鉱石, 3 カブレライト鉱石, 7 マカライト鉱石, 7 大地の結晶
Alloy S Coat : 1 デプスライト鉱石, 2 カブレライト鉱石, 5 ドラグライト鉱石, 5 シーブライト鉱石
Alloy S Leggings : 3 デプスライト鉱石, 3 カブレライト鉱石, 3 紅蓮石, 5 アイシスメタル
Bnahabra S Hat : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 飛甲虫の麻痺針, 2 王族カナブン
Bnahabra S Suit : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 王族カナブン
Bnahabra S Glove : 2 飛甲虫の堅殻, -2 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra S Coil : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 王族カナブン
Bnahabra S Boots : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Bnahabra S Cap : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 飛甲虫の麻痺針, 2 王族カナブン
Bnahabra S Vest : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 王族カナブン
Bnahabra S Cuffs : 2 飛甲虫の堅殻, -2 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra S Coat : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 王族カナブン
Bnahabra S Pants : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Rhenoplos S Helm : 3 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Mail : 1 草食竜の堅殻, 1 草食竜の頭殻, 2 カブレライト鉱石
Rhenoplos S Vambraces : 3 草食竜の堅殻, 4 竜骨【中】, 3 氷結晶
Rhenoplos S Coil : 1 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Greaves : 3 草食竜の堅殻, 6 竜骨【小】, 2 カブレライト鉱石
Rhenoplos S Cap : 3 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Vest : 1 草食竜の堅殻, 1 草食竜の頭殻, 2 カブレライト鉱石
Rhenoplos S Guards : 3 草食竜の堅殻, 4 竜骨【中】, 3 氷結晶
Rhenoplos S Coat : 1 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Leggings : 3 草食竜の堅殻, 6 竜骨【小】, 2 カブレライト鉱石
Zuwaroposu Hood : 2 垂皮竜の上皮, 2 デプスライト鉱石, 3 ファンゴの毛皮
Zuwaroposu Mantle : 4 垂皮竜の皮, 1 デプスライト鉱石, 3 ファンゴの毛皮
Zuwaroposu Cap : 2 垂皮竜の上皮, 2 デプスライト鉱石, 3 ファンゴの毛皮
Zuwaroposu Vest : 4 垂皮竜の皮, 1 デプスライト鉱石, 3 ファンゴの毛皮
Nadeshiko Cap : 1 落陽草の花, 3 マンドラゴラ, 5 丸鳥の羽, 3 ペピポパンプキン
Nadeshiko Vest : 1 落陽草の花, 3 マンドラゴラ, 6 ライトクリスタル, 1 アイシスメタル
Nadeshiko Sleeves : 1 落陽草の花, 3 ユニオン鉱石, 1 高級お食事券, 3 イチノタチウオ
Nadeshiko Waist : 1 落陽草の花, 3 マンドラゴラ, 3 お食事券, 3 うなりうねり貝
Nadeshiko Skirt : 1 落陽草の花, 3 ユニオン鉱石, 4 ライトクリスタル, 1 デプスライト鉱石
Kikyo Cap : 1 落陽草の花, 3 マンドラゴラ, 5 丸鳥の羽, 3 ペピポパンプキン
Kikyo Vest : 1 落陽草の花, 3 マンドラゴラ, 6 ライトクリスタル, 1 アイシスメタル
Kikyo Sleeves : 1 落陽草の花, 3 ユニオン鉱石, 1 高級お食事券, 3 イチノタチウオ
Kikyo Waist : 1 落陽草の花, 3 マンドラゴラ, 3 お食事券, 3 うなりうねり貝
Kikyo Skirt : 1 落陽草の花, 3 ユニオン鉱石, 4 ライトクリスタル, 1 デプスライト鉱石
Jaggi S Helm : 4 狗竜の上皮, 2 狗竜の爪, 2 狗竜の皮, 2 シーブライト鉱石
Jaggi S Mail : 4 狗竜の尖爪, 4 狗竜の上皮, 3 ジャギィの皮, 2 カブレライト鉱石
Jaggi S Vambraces : 4 狗竜の尖爪, 1 王者のエリマキ, 1 鳥竜玉, 2 シーブライト鉱石
Jaggi S Faulds : 4 狗竜の上皮, 2 王者のエリマキ, 4 ジャギィの上鱗, 2 ドラグライト鉱石
Jaggi S Greaves : 4 ジャギィの上鱗, 4 ジャギィの皮, 7 上質な鳥竜骨, 2 ドラグライト鉱石
Jaggi S Cap : 4 狗竜の上皮, 2 狗竜の爪, 2 狗竜の皮, 2 シーブライト鉱石
Jaggi S Vest : 4 狗竜の尖爪, 4 狗竜の上皮, 3 ジャギィの皮, 2 カブレライト鉱石
Jaggi S Guards : 4 狗竜の尖爪, 1 王者のエリマキ, 1 鳥竜玉, 2 シーブライト鉱石
Jaggi S Coat : 4 狗竜の上皮, 2 王者のエリマキ, 4 ジャギィの上鱗, 2 ドラグライト鉱石
Jaggi S Leggings : 4 ジャギィの上鱗, 4 ジャギィの皮, 7 上質な鳥竜骨, 2 ドラグライト鉱石
Aoashira S Helm : 3 青熊獣の堅殻, 2 堅牢な骨, 3 青熊獣の毛, 3 ドスヘラクレス
Aoashira S Mail : 5 青熊獣の剛毛, 2 青熊獣の堅殻, 3 飛甲虫の堅殻, 2 王族カナブン
Aoashira S Vambraces : 3 青熊獣の堅殻, 3 青熊獣の堅腕甲, 3 青熊獣の毛, 2 上質な腹袋
Aoashira S Faulds : 5 青熊獣の剛毛, 2 堅牢な骨, 3 青熊獣の甲殻, 3 ドスヘラクレス
Aoashira S Greaves : 2 青熊獣の堅腕甲, 4 青熊獣の剛毛, 3 飛甲虫の甲殻, 2 王族カナブン
Aoashira S Cap : 3 青熊獣の堅殻, 2 堅牢な骨, 3 青熊獣の毛, 3 ドスヘラクレス
Aoashira S Vest : 5 青熊獣の剛毛, 2 青熊獣の堅殻, 3 飛甲虫の堅殻, 2 王族カナブン
Aoashira S Guards : 3 青熊獣の堅殻, 3 青熊獣の堅腕甲, 3 青熊獣の毛, 2 上質な腹袋
Aoashira S Coat : 5 青熊獣の剛毛, 2 堅牢な骨, 3 青熊獣の甲殻, 3 ドスヘラクレス
Aoashira S Leggings : 2 青熊獣の堅腕甲, 4 青熊獣の剛毛, 3 飛甲虫の甲殻, 2 王族カナブン
Froggi S Helm : 3 毒狗竜の上皮, 2 王者のクチバシ, 1 鳥竜玉, 6 ドスヘラクレス
Froggi S Mail : 2 猛毒袋, 2 毒狗竜の腕甲, 2 フロギィの上鱗, 6 ドスヘラクレス
Froggi S Vambraces : 3 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 4 猛毒袋, 1 デプスライト鉱石
Froggi S Faulds : 4 フロギィの上鱗, 7 フロギィの皮, 5 上質な鳥竜骨, 3 デプスライト鉱石
Froggi S Greaves : 4 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 3 毒狗竜の皮, 4 王族カナブン
Froggi S Cap : 3 毒狗竜の上皮, 2 王者のクチバシ, 1 鳥竜玉, 6 ドスヘラクレス
Froggi S Vest : 2 猛毒袋, 2 毒狗竜の腕甲, 2 フロギィの上鱗, 6 ドスヘラクレス
Froggi S Guards : 3 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 4 猛毒袋, 1 デプスライト鉱石
Froggi S Coat : 4 フロギィの上鱗, 7 フロギィの皮, 5 上質な鳥竜骨, 3 デプスライト鉱石
Froggi S Leggings : 4 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 3 毒狗竜の皮, 4 王族カナブン
Baggi S Helm : 4 眠狗竜の上皮, 2 眠狗竜の爪, 2 眠狗竜の皮, 3 グラシスメタル
Baggi S Mail : 4 眠狗竜の尖爪, 1 王者のトサカ, 3 鳥竜玉, 4 アイシスメタル
Baggi S Vambraces : 3 眠狗竜の尖爪, 3 眠狗竜の上皮, 4 昏睡袋, 4 アイシスメタル
Baggi S Coil : 3 眠狗竜の上皮, 1 王者のトサカ, 6 バギィの上鱗, 2 ライトクリスタル
Baggi S Greaves : 2 バギィの上鱗, 6 バギィの皮, 7 上質な鳥竜骨, 3 グラシスメタル
Baggi S Cap : 4 眠狗竜の上皮, 2 眠狗竜の爪, 2 眠狗竜の皮, 3 グラシスメタル
Baggi S Vest : 4 眠狗竜の尖爪, 1 王者のトサカ, 3 鳥竜玉, 4 アイシスメタル
Baggi S Guards : 3 眠狗竜の尖爪, 3 眠狗竜の上皮, 4 昏睡袋, 4 アイシスメタル
Baggi S Coat : 3 眠狗竜の上皮, 1 王者のトサカ, 6 バギィの上鱗, 2 ライトクリスタル
